0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
UniqueKey,TimeStamp,Date_of_Activity,Activity,Distance,Pace,HR (bpm),Cadence (steps/min),RPE (1–10 scale),Shoe,Remarks,Member Name,Duration_Other,Strava_Base_Activity,Map_Polyline,Max_Pace,Max_HR,Elevation_Gained
2025-04-28|Scott|WeightTraining|107,2025-04-28,2025-04-28,WeightTraining,0,00:00:00,107,0,0,,,Scott,00:46:57,WeightTraining,,00:00:00,157,0
2025-04-29|Scott|Run|144,2025-04-29,2025-04-29,Easy Run,4.86,00:06:45,144,158,0,,,Scott,00:32:48,Run,w`vGmzmxRDILHf@Ld@T`@HRJ^H~@Nv@R\DWSy@Uc@Ee@We@Em@QKBIAm@QW@s@OgA_@u@Em@Ua@Em@?}B][Bw@UYBk@CW@MFEHIV?d@Fr@FVL\?n@GP@JEH?HHDNb@F`@DP@REh@BRLf@LPF\RPN?f@If@MHEv@Kv@SHAHED@DLF@NCLBPNBFVdAVf@FDHPZjAz@vBRl@^x@Rp@BBTd@GNmAh@S\QLMF}@ROFEFAF@JDN@d@HXJLFXB@Rf@b@t@FPHf@@~@KzA@`@EZ?RDx@?b@Jd@Bb@E|@Fb@CnACL?PEd@?XDDEf@?t@E`@?l@HXJH?LJRGd@?f@GREf@Ib@EDIIC^GPKHELQXIT]p@?DDTB@BRENF@FFh@l@R^Vx@BZGZANDVTR`@P`C@RCbACLCPIPOF[Aa@GUAc@@g@HE@W@GGS?UBc@DM?a@Gq@?a@Fg@?aACQ@_@IkAGQYYo@M_AACW?o@Ck@@UCw@@[DKVUf@m@z@w@JW?q@JOGIAk@BoCAe@?{@Ew@@a@Au@Hg@CG?ICI@_@K]]o@w@uBUc@_@{@Y}@iAoCEMIy@YUa@w@G]_@s@k@w@e@w@O[G]@SJILIZG`Aa@TCR@\Gl@RFALM,00:03:21,171,32
2025-05-01|Scott|Run|135,2025-05-01,2025-05-01,Easy Run,3.4,00:08:44,135,149,0,,,Scott,00:29:42,Run,yrxGirmxRADOD@ZFn@A`@I@YRYLk@LO?GBEHEPQVIRIL@L]X]`@GP?NCNq@|@QLILC?EF?h@CTBB?RGN?NKTGHe@T]@OXATL|@Gb@WTSVi@b@IL]VUBi@ZK?SNGHOFKHS@c@PW@]FGHe@LIDUDCJMFa@DUAE@QL_@RUTGNSHs@GSDQCSJGASFUKUCGIo@]OA_@@g@Do@CIEc@[_@KIB@CUCk@AO?MAg@DWIe@Fe@COBCDEE?KEPMJ?Hf@APBADQ?GLLl@ANDb@FF@DVDR?PHNBDBBJGL?JHHAZHTTXRHN@LJFCF[BECI?KECIWJGHJFE?MEG?SCEEc@UKOEKEI?[HK?@@EE]EKMEAa@NE?ACDMGI?EAA?CESGGESJEN?BEc@BMCEGTQTI\Fl@CJCRD\CdA@^D^LZZHD`@F^?FBN?FGF?HEZA^Pd@ZTDTCj@K\@p@Ad@Q?CRWXGVQr@Kp@[nAWt@[LKd@S\MVEb@YLAPDDATe@d@e@LQFSfCo@HDDJGV@DFDPC?DH?JH?HKXBJDFbAd@d@N\P^NNJZF`Br@TFRRr@XTRBDr@d@XZXNNAJIfAgAJObBgB,00:03:16,169,32
2025-05-01|Scott|Run|157,2025-05-01,2025-05-01,Easy Run,1.27,00:04:54,157,177,0,,,Scott,00:06:13,Run,_gwGyrlxRLGtAr@RDP?ZKTSJUD[EOKYa@YEOMOWOo@i@QI@B]ES@IBSJILGNA^D\HLfBhBRLPD^ARENKPSDW?WGUW[k@o@i@g@YSa@E_@FOLQVEZB\Nj@l@r@JGF@PJXZJHPDVBVETKNSH_@?QEWS[iBeBSKWCWB[NORK\?VJf@DLV\,00:02:38,185,0
2025-05-12|Scott|Run|143,2025-05-12,2025-05-12,Easy Run,6.05,00:07:04,143,155,0,Boston 12,1st run since Food Poisoning,Scott,00:42:49,Run,w`vGazmxRJFT@ZFr@F^JRBx@TvAVQMG?YIu@[}@K_@K_AOW?GGQ@QIUAc@MgAIQGMAQK_AEYSQHOAIBGAE?KASMWGOI[Ic@I]Aw@Mu@AIDENAb@RlACh@Jr@A\BZH^DHPv@AJDXFRHJPjAFNLJP?pBi@RA\ID?PJLGp@SN`@\f@Z|@NVTXl@fA@DCRJd@PVRl@FZt@pBLNHb@ABe@R{@XGF@Pe@TmA\KFCHLj@N^Z|Aj@nAHJFj@ElCD^?b@DR@z@In@@VCv@IXFp@BnAALDr@CFBDFZCp@G^KjAB`@DBN@DB?DCNANM`@GXKHEJCr@CLAAAPEH]zAc@h@IT?FR\DDBJIFE?Wc@GEG?]H]Re@Ha@Bc@LU?UB[Lo@JWJg@HGFUBMDMLGPAd@Dj@CVFRD~@Hv@Tz@J`A?RRpALpAFRR^Qg@E]Ao@Ow@?QQaAIw@Qk@G_@Eg@@aAEq@Ic@?SNQ`@Kn@Ab@MH?f@IdBG^Kd@Ep@a@FIXEBB@AJO@IDCML?DVb@Jb@NHDDDVVz@F@LJGHCd@HNFXXRNBdCB~AGXKHGJQHYEk@@MB]HW?ISsADQDq@?MCEA[BWAIECEAKDMmA@CLGTY?EMKCGA[@WWaA?QBUCEGDIGQCiABCCAKB}@?uBBWHSPQ`@g@n@o@FWD{@?a@BWAe@Bq@?a@BWEq@MU?EFIBKAQFq@@qBCK?a@BSgCoG_@u@]cAq@{AMk@Gi@KQe@sAEO]y@a@o@c@cA[y@@MtAm@z@Gx@B`@CPEEB,00:03:07,178,40
2025-05-13|Scott|Run|153,2025-05-13,2025-05-13,Tempo Run,5.5,00:06:09,153,167,0,Boston 12,Still calibrating shoes. Might need to buy Boa system,Scott,00:33:52,Run,e_vGermxRKMMAu@a@y@Fk@RULUFGF?TEDETCR?TId@BV?^DNFNFBPZF^JTJJ^PHRHHPf@H\HHBVDD@Rt@pA?HEFVr@?Jq@^sAf@]F{@\MGYNQRsAr@ML]f@MXKZ?TGNAJ@@ELsCnAaBx@u@ROCQIUBIAEQEAUMOs@[q@OMe@{@[[IDSNGJ]EIDQl@KNSNUDW@QDS?LYC?H@PCTJB?VELIZo@?QGUQWkCyBOGIAW@SHOPMXEZDZHNTVbB~AVL\DPAREl@u@Aa@GWKMcCwBWO]Ec@P]`@GNAP?XBHPTrAfAd@f@\NPBRARELIVa@FYC]IUOOyBmB_@MS@MD[RQZGXDb@HNlBrB`@RVBV?NI\WP[@MIe@Sa@aCwBWI[@]LKJSb@EZ@TJVPTdAdAt@d@RF`@?TKNOZi@@IAWIUKOeBaBc@]MEOAYDMFQLOZI^@RFZd@r@pAjAPJND`@?XI\WN[?g@EOIQu@w@oAiAQKQCc@JWRMVG`@@RDRfAlAVP^b@`@LV?\GXQPYD]Gc@Y_@yBoBSGY?UFa@^Qd@AL@PDNJNrAlA\`@ZP`@DTCTINOJWDa@EYCKOS{BwBMEYCa@F[XIPG\B`@FLVXfB`BVJTBRARGd@g@DS?SG[Q[sBoBSIUC_@FSLMNINEZDb@HR`AhA,00:03:24,180,55
2025-05-14|Scott|WeightTraining|114,2025-05-14,2025-05-14,WeightTraining,0,00:00:00,114,0,0,,Caroline 30 min fullbody,Scott,00:38:55,WeightTraining,,00:00:00,145,0
2025-05-15|Scott|Run|142,2025-05-15,2025-05-15,Easy Run,6.04,00:07:10,142,160,0,Novablast 3,Fatigue from buhat kahapon,Scott,00:43:20,Run,u`vGkzmxRnAZnAPlCh@PBDCg@[u@Qw@Gc@Kq@A_@SW?w@U[GUIYC_@QOH[IEE]EY?y@UKDa@Da@OaAa@cA?qAQUFKHEPBh@FX@^BZATCNB`@DJBTJL@X`@dBLRRPBJA^HZ@RHZH@^GZMHGDKN@d@KJ?j@MVMPHJ@?BD@JR@HHLVh@AFFDNXLd@h@bAHXHLFTLPd@pAHPFTPb@Z`ALRDLIHmA^uB|@CFJBO?MDON?LP^HDBPV\V^D\Zp@V`A@^?lBFb@?HHr@DDBNAF?RET?LGJKb@A^EHAJAv@@~ABl@FLCPFHBVFR?LJX[h@I`@?ZEX?V@DLDQ@IF@L[v@EN?LGLANBNA^KHAF?JFP?PCf@IVQLKNKXSTODY?OBEDCLc@Pi@BMBWH]@]HWRSBW?c@D_@LMJWXIVCTH`@Il@PJBDAf@NbALd@NdAEF@^ZlBFh@Pd@HJBAIKSo@Ai@Ow@?UQk@?MQwAM]Ia@GoAB_@KmA@MPUZIRFFEb@KR?`@MB@h@GZ@j@IRI^E@BvAu@d@CHRRHLRHDPXATBJET?DJFE^Ah@LLN\NHPFPBfA@PAzBAXGRML[DQAa@Ds@AUEMDSCw@@g@@IBAESD]Ea@@QCw@BEDUGYBIM]BQEIBWEm@I[IIw@I}@BKC?GB{EFMtBsBNa@BaAEw@@qAC{@@[CYBMBE?MGcA@sAF[EM?_@CEHOuAwCkCsGc@mAOcAQg@Ue@o@cBU[a@w@e@gAEQ@EVQZEXQ\INIj@CXH,00:02:29,173,35
2025-05-16|Scott|WeightTraining|104,2025-05-16,2025-05-16,WeightTraining,0,00:00:00,104,0,0,,Fullbody 1. Felt strong,Scott,00:49:33,WeightTraining,,00:00:00,130,0
